# Kegerreis et al (2024) Table 3 plain text
# ID_in  phi(deg)  i(deg)  o(deg)  nu(deg)  M_rem(1e19kg)  M_esc(1e19kg)  M_bump(1e19kg)  M_orb(1e19kg)  M_coll(1e19kg)
6  60  0  30  -  3.67  0.39  0.57  0.00  0.97
6  60  5  30  -  3.67  0.39  0.53  0.00  1.20
6  60  30  30  -  3.13  0.39  0.66  0.54  1.94
6  60  45  30  -  2.94  0.39  1.15  0.74  0.77
6  60  60  30  -  3.62  0.00  0.55  0.44  0.44
6  60  75  30  -  4.06  0.00  0.41  0.00  0.01
6  60  90  30  -  4.06  0.00  0.56  0.00  1.41
6  90  0  30  -  2.88  0.40  0.25  0.79  2.64
6  90  5  30  -  2.88  0.40  0.59  0.79  2.55
6  90  30  30  -  1.73  0.39  0.19  1.94  2.80
6  90  45  30  -  2.11  0.39  0.16  1.56  1.86
6  90  60  30  -  3.26  0.01  0.05  0.80  1.30
6  90  75  30  -  3.34  0.00  0.36  0.72  0.72
6  90  90  30  -  4.06  0.00  0.77  0.00  0.59
1  0  15  30  -  4.78  0.00  0.00  0.00  0.00
2  0  15  30  -  4.43  0.00  0.00  0.00  0.00
3  0  15  30  -  4.22  0.00  0.28  0.00  0.00
4  0  15  30  -  4.41  0.00  0.84  0.00  0.05
5  0  15  30  -  4.26  0.00  1.23  0.00  0.12
7  0  15  30  -  3.35  0.00  1.73  0.00  0.13
8  0  15  30  -  2.34  0.00  0.00  0.00  0.00
9  0  15  30  -  1.81  0.00  0.00  0.00  0.00
1  30  15  30  -  4.77  0.00  0.00  0.00  0.00
2  30  15  30  -  4.42  0.00  0.00  0.00  0.00
3  30  15  30  -  4.22  0.00  0.70  0.00  0.00
4  30  15  30  -  4.06  0.36  1.45  0.00  0.01
5  30  15  30  -  4.26  0.00  0.81  0.00  1.24
7  30  15  30  -  3.35  0.00  0.92  0.00  0.47
8  30  15  30  -  2.35  0.00  0.00  0.00  0.00
9  30  15  30  -  1.81  0.00  0.00  0.00  0.00
1  60  15  30  -  4.74  0.04  0.50  0.00  0.00
2  60  15  30  -  4.36  0.06  0.00  0.00  0.00
3  60  15  30  -  4.21  0.01  0.36  0.00  0.02
4  60  15  30  -  4.05  0.36  0.54  0.00  1.29
5  60  15  30  -  4.22  0.04  0.46  0.01  1.90
7  60  15  30  -  2.58  0.01  0.42  0.76  1.30
8  60  15  30  -  2.33  0.02  0.91  0.00  0.00
9  60  15  30  -  1.81  0.00  0.00  0.00  0.00
1  90  15  30  -  4.29  0.47  0.00  0.02  0.02
2  90  15  30  -  4.33  0.06  0.00  0.03  0.27
3  90  15  30  -  3.60  0.01  0.41  0.61  1.85
4  90  15  30  -  3.11  0.36  1.20  0.94  2.30
5  90  15  30  -  3.03  0.04  0.51  1.19  3.64
7  90  15  30  -  1.98  0.01  0.58  1.36  2.30
8  90  15  30  -  1.22  0.02  0.27  1.10  1.10
9  90  15  30  -  0.00  0.00  0.00  1.81  1.81
15  0  15  30  -  3.51  0.34  0.60  0.01  0.02
20  0  15  30  -  2.98  0.00  0.29  0.00  0.00
25  0  15  30  -  2.03  0.00  0.00  0.00  0.00
15  30  15  30  -  3.51  0.35  0.11  0.00  0.44
20  30  15  30  -  2.98  0.00  0.09  0.00  0.00
25  30  15  30  -  2.03  0.00  0.00  0.00  0.00
15  60  15  30  -  3.25  0.35  0.49  0.26  1.31
20  60  15  30  -  2.97  0.01  0.00  0.00  0.44
25  60  15  30  -  1.66  0.37  0.00  0.00  0.00
15  90  15  30  -  2.70  0.35  0.83  0.82  1.96
20  90  15  30  -  1.85  0.03  0.39  1.11  1.81
25  90  15  30  -  1.20  0.37  0.05  0.45  0.45
6  90  15  0  -  0.00  0.39  0.00  3.67  3.67
6  90  15  15  -  1.43  0.39  0.38  2.24  2.56
6  90  15  45  -  2.87  0.39  0.13  0.80  2.97
6  90  15  60  -  2.54  0.39  0.40  1.13  2.21
6  90  15  30  0  2.89  0.40  0.02  0.78  2.92
6  90  15  30  45  2.85  0.40  0.39  0.81  2.64
6  90  15  30  90  2.46  0.40  0.21  1.21  1.92
6  90  15  30  135  2.86  0.40  0.01  0.81  2.60
6  90  15  30  180  3.16  0.40  0.61  0.50  2.28
6  90  15  30  225  2.88  0.40  0.05  0.79  2.75
6  90  15  30  270  2.10  0.40  0.37  1.57  2.62
6  90  15  30  315  2.85  0.40  0.52  0.82  2.70
51  90  15  30  -  0.01  0.01  0.00  0.02  0.02
52  90  15  30  -  0.05  0.01  0.00  0.04  0.04
53  90  15  30  -  0.27  0.01  0.03  0.11  0.11
54  90  15  30  -  1.14  0.15  0.04  0.17  0.33
55  90  15  30  -  14.30  0.30  0.02  0.82  0.93
56  90  15  30  -  40.39  0.05  7.82  0.19  0.31
57  0  15  30  -  0.03  0.00  0.00  0.00  0.00
58  0  15  30  -  0.10  0.00  0.00  0.00  0.00
59  0  15  30  -  0.36  0.00  0.00  0.00  0.00
60  0  15  30  -  1.22  0.00  0.18  0.00  0.00
61  0  15  30  -  12.23  0.01  3.81  0.17  1.92
62  0  15  30  -  38.18  0.01  12.33  0.13  0.57
57  30  15  30  -  0.02  0.00  0.00  0.00  0.00
58  30  15  30  -  0.10  0.00  0.00  0.00  0.00
59  30  15  30  -  0.35  0.00  0.00  0.00  0.00
60  30  15  30  -  1.22  0.00  0.00  0.00  0.00
61  30  15  30  -  12.30  0.00  3.00  0.11  2.96
62  30  15  30  -  38.22  0.00  9.38  0.09  0.69
57  60  15  30  -  0.02  0.00  0.00  0.00  0.00
58  60  15  30  -  0.09  0.00  0.00  0.00  0.00
59  60  15  30  -  0.30  0.06  0.00  0.00  0.00
60  60  15  30  -  1.22  0.00  0.10  0.00  0.07
61  60  15  30  -  12.18  0.03  1.89  0.19  6.04
62  60  15  30  -  31.70  6.44  7.44  0.18  2.69
57  90  15  30  -  0.00  0.03  0.00  0.00  0.00
58  90  15  30  -  0.00  0.00  0.00  0.09  0.09
59  90  15  30  -  0.09  0.06  0.00  0.21  0.21
60  90  15  30  -  0.61  0.01  0.11  0.60  0.79
61  90  15  30  -  9.59  0.03  0.06  2.79  10.55
62  90  15  30  -  31.11  6.44  5.29  0.77  8.25
103  0  15  30  -  3.67  0.00  0.00  0.00  0.00
103  15  15  30  -  3.67  0.00  0.00  0.00  0.00
103  30  15  30  -  3.67  0.00  0.00  0.00  0.00
103  45  15  30  -  3.67  0.00  0.00  0.00  0.84
103  60  15  30  -  3.66  0.00  1.71  0.00  0.01
103  75  15  30  -  2.22  0.00  1.94  1.44  1.44
103  90  15  30  -  2.20  0.00  2.15  1.46  2.87
103  105  15  30  -  1.36  0.00  1.42  2.30  2.86
103  120  15  30  -  3.65  0.00  1.56  0.02  0.19
103  135  15  30  -  3.67  0.00  0.89  0.00  0.00
103  150  15  30  -  3.67  0.00  1.55  0.00  0.00
103  165  15  30  -  3.67  0.00  0.00  0.00  0.00
103  180  15  30  -  3.67  0.00  0.00  0.00  0.00
103  195  15  30  -  3.67  0.00  0.00  0.00  0.00
103  210  15  30  -  3.67  0.00  0.00  0.00  0.00
103  225  15  30  -  3.67  0.00  0.00  0.00  1.55
103  240  15  30  -  3.66  0.00  1.95  0.00  0.01
103  255  15  30  -  2.22  0.00  3.35  1.44  1.47
103  270  15  30  -  2.21  0.00  0.82  1.46  2.61
103  285  15  30  -  2.21  0.00  0.00  1.46  2.58
103  300  15  30  -  3.66  0.00  1.20  0.01  0.01
103  315  15  30  -  3.67  0.00  0.81  0.00  0.00
103  330  15  30  -  3.67  0.00  1.94  0.00  0.02
103  345  15  30  -  3.67  0.00  0.00  0.00  1.12
108  0  15  30  -  2.93  0.04  0.06  0.79  2.35
108  15  15  30  -  3.06  0.08  0.09  0.62  2.31
108  30  15  30  -  2.90  0.03  0.23  0.83  2.36
108  45  15  30  -  2.87  0.04  0.01  0.85  2.83
108  60  15  30  -  2.64  0.13  0.01  0.98  3.07
108  75  15  30  -  1.36  0.39  0.00  2.01  3.58
108  90  15  30  -  1.28  0.25  0.02  2.23  3.69
108  105  15  30  -  0.58  1.12  0.01  2.06  3.67
108  120  15  30  -  2.51  0.21  0.08  1.03  2.97
108  135  15  30  -  2.80  0.16  0.09  0.80  2.65
108  150  15  30  -  2.94  0.10  0.09  0.72  2.53
108  165  15  30  -  3.05  0.12  0.02  0.59  2.37
108  180  15  30  -  3.04  0.01  0.08  0.70  2.16
108  195  15  30  -  2.97  0.04  0.02  0.74  2.22
108  210  15  30  -  3.13  0.07  0.04  0.55  2.36
108  225  15  30  -  3.29  0.11  0.00  0.35  2.74
108  240  15  30  -  3.09  0.26  0.01  0.40  3.06
108  255  15  30  -  1.17  1.65  0.02  0.93  3.55
108  270  15  30  -  0.06  2.38  0.01  1.31  3.69
108  285  15  30  -  0.07  2.41  0.01  1.27  3.65
108  300  15  30  -  2.90  0.32  0.02  0.54  3.00
108  315  15  30  -  3.31  0.11  0.10  0.33  2.55
108  330  15  30  -  3.17  0.09  0.03  0.49  2.44
108  345  15  30  -  2.93  0.06  0.08  0.77  2.38
116  0  15  30  -  3.17  0.00  0.01  1.41  3.29
116  15  15  30  -  3.34  0.00  0.00  1.25  3.60
116  30  15  30  -  3.06  0.01  0.00  1.52  3.67
116  45  15  30  -  2.93  0.01  0.00  1.66  3.78
116  60  15  30  -  2.80  0.01  0.00  1.78  4.09
116  75  15  30  -  1.88  0.01  0.01  2.69  4.57
116  90  15  30  -  1.82  0.01  0.00  2.76  4.57
116  105  15  30  -  1.88  0.01  0.00  2.69  4.55
116  120  15  30  -  2.80  0.01  0.00  1.78  4.11
116  135  15  30  -  2.93  0.00  0.00  1.66  3.56
116  150  15  30  -  3.07  0.00  0.01  1.52  3.32
116  165  15  30  -  3.34  0.00  0.00  1.25  3.49
116  180  15  30  -  3.17  0.00  0.11  1.41  3.20
116  195  15  30  -  3.17  0.01  0.22  1.41  3.18
116  210  15  30  -  3.38  0.01  0.18  1.20  3.25
116  225  15  30  -  3.88  0.00  0.01  0.70  3.87
116  240  15  30  -  3.92  0.00  0.03  0.67  3.91
116  255  15  30  -  2.58  0.01  0.01  2.00  4.57
116  270  15  30  -  2.44  0.01  0.21  2.14  4.55
116  285  15  30  -  2.58  0.01  0.00  1.99  4.56
116  300  15  30  -  3.89  0.01  0.00  0.70  4.00
116  315  15  30  -  3.87  0.01  0.00  0.71  3.51
116  330  15  30  -  3.38  0.01  0.00  1.20  3.30
116  345  15  30  -  3.17  0.00  0.00  1.41  3.40
101  0  15  30  -  4.23  0.00  0.27  0.00  0.02
101  15  15  30  -  4.23  0.00  0.64  0.00  0.00
101  30  15  30  -  4.23  0.00  0.27  0.00  0.17
101  45  15  30  -  4.23  0.00  0.43  0.00  0.33
101  60  15  30  -  4.23  0.00  0.72  0.00  0.59
101  75  15  30  -  2.61  0.00  1.77  1.62  2.72
101  90  15  30  -  2.59  0.00  2.09  1.65  2.69
101  105  15  30  -  2.58  0.00  0.84  1.65  3.09
101  120  15  30  -  4.22  0.00  1.08  0.01  1.22
101  135  15  30  -  4.23  0.00  0.28  0.00  1.90
101  150  15  30  -  4.23  0.00  0.01  0.00  0.58
101  165  15  30  -  4.23  0.00  0.60  0.00  0.32
101  180  15  30  -  4.23  0.00  0.55  0.00  0.02
101  195  15  30  -  4.23  0.00  0.33  0.00  0.08
101  210  15  30  -  4.21  0.00  0.33  0.02  0.32
101  225  15  30  -  4.23  0.00  0.00  0.00  0.53
101  240  15  30  -  4.23  0.00  1.16  0.00  0.98
101  255  15  30  -  2.61  0.00  1.30  1.62  2.54
101  270  15  30  -  2.60  0.00  0.04  1.63  3.28
101  285  15  30  -  2.60  0.00  0.54  1.63  2.88
101  300  15  30  -  4.23  0.00  0.89  0.00  1.16
101  315  15  30  -  4.23  0.00  0.44  0.00  1.59
101  330  15  30  -  4.21  0.00  0.71  0.02  0.71
101  345  15  30  -  4.23  0.00  0.33  0.00  0.77
106  0  15  30  -  3.97  0.00  0.52  0.44  1.68
106  15  15  30  -  4.12  0.00  0.07  0.29  2.15
106  30  15  30  -  3.95  0.00  0.35  0.46  2.12
106  45  15  30  -  2.99  0.87  0.28  0.55  2.18
106  60  15  30  -  2.79  0.88  0.06  0.74  2.85
106  75  15  30  -  2.31  0.88  0.18  1.22  3.31
106  90  15  30  -  2.07  0.87  0.01  1.47  3.49
106  105  15  30  -  2.12  0.87  0.09  1.42  3.41
106  120  15  30  -  2.79  0.87  0.12  0.75  2.75
106  135  15  30  -  3.11  0.86  0.24  0.44  2.30
106  150  15  30  -  3.99  0.01  0.02  0.41  2.04
106  165  15  30  -  4.14  0.00  0.06  0.27  2.25
106  180  15  30  -  4.02  0.00  0.25  0.39  1.91
106  195  15  30  -  3.98  0.00  1.24  0.44  1.77
106  210  15  30  -  4.15  0.00  0.16  0.26  2.94
106  225  15  30  -  3.54  0.86  0.03  0.01  2.47
106  240  15  30  -  3.37  0.87  0.28  0.17  2.71
106  255  15  30  -  2.96  0.87  0.02  0.58  3.28
106  270  15  30  -  2.63  0.87  0.08  0.91  3.42
106  285  15  30  -  2.78  0.87  0.02  0.76  3.44
106  300  15  30  -  3.35  0.87  0.05  0.19  2.83
106  315  15  30  -  4.40  0.01  0.25  0.01  2.06
106  330  15  30  -  4.14  0.00  0.32  0.27  2.04
106  345  15  30  -  3.87  0.00  0.21  0.54  2.21
114  0  15  30  -  3.35  0.00  0.00  1.26  3.12
114  15  15  30  -  3.72  0.00  0.01  0.90  3.03
114  30  15  30  -  3.35  0.00  0.01  1.26  3.41
114  45  15  30  -  3.22  0.01  0.01  1.38  3.41
114  60  15  30  -  2.97  0.01  0.23  1.64  3.58
114  75  15  30  -  2.08  0.01  0.20  2.52  4.12
114  90  15  30  -  1.43  0.01  0.00  3.18  4.57
114  105  15  30  -  1.65  0.01  0.19  2.95  3.86
114  120  15  30  -  2.96  0.01  0.00  1.65  3.02
114  135  15  30  -  3.23  0.01  0.15  1.38  3.10
114  150  15  30  -  3.36  0.00  0.00  1.26  3.20
114  165  15  30  -  3.72  0.00  0.01  0.90  2.75
114  180  15  30  -  3.43  0.00  0.01  1.19  2.82
114  195  15  30  -  3.55  0.00  0.55  1.06  2.77
114  210  15  30  -  3.81  0.00  0.00  0.80  3.28
114  225  15  30  -  3.79  0.01  0.16  0.82  3.56
114  240  15  30  -  4.11  0.01  0.32  0.49  3.49
114  255  15  30  -  2.93  0.01  0.01  1.68  3.97
114  270  15  30  -  2.55  0.01  0.01  2.06  4.41
114  285  15  30  -  2.78  0.01  0.01  1.82  4.21
114  300  15  30  -  4.13  0.01  0.24  0.47  3.35
114  315  15  30  -  4.15  0.01  0.01  0.46  3.08
114  330  15  30  -  3.80  0.00  0.01  0.81  3.01
114  345  15  30  -  3.20  0.00  0.23  1.42  2.86
159  0  15  30  -  4.67  0.00  0.01  0.00  0.00
98  0  15  30  -  4.88  0.00  0.94  0.02  0.09
160  0  15  30  -  3.67  0.00  0.38  1.09  2.75
161  0  15  30  -  3.27  0.00  0.03  1.30  2.88
162  0  15  30  -  3.22  0.00  0.12  1.49  3.13
163  0  15  30  -  3.17  0.21  0.19  1.37  3.43
164  0  15  30  -  3.35  0.00  0.00  1.21  3.48
165  0  15  30  -  3.42  0.00  0.00  1.36  3.56
131  0  15  30  -  3.38  0.00  0.12  1.25  3.61
166  0  15  30  -  3.35  0.00  0.01  1.25  3.38
167  0  15  30  -  2.72  0.00  0.00  1.38  3.34
159  30  15  30  -  4.67  0.00  0.29  0.00  0.00
98  30  15  30  -  4.62  0.26  1.24  0.02  0.16
160  30  15  30  -  3.67  0.00  0.33  1.10  2.60
161  30  15  30  -  3.27  0.00  0.01  1.30  3.09
162  30  15  30  -  3.21  0.00  0.10  1.50  3.36
163  30  15  30  -  3.11  0.26  0.00  1.38  3.58
164  30  15  30  -  3.27  0.01  0.20  1.29  3.53
165  30  15  30  -  3.24  0.36  0.00  1.18  3.67
131  30  15  30  -  3.47  0.00  0.00  1.16  3.73
166  30  15  30  -  2.87  0.00  0.00  1.72  4.06
167  30  15  30  -  2.74  0.00  0.00  1.37  3.35
159  60  15  30  -  4.59  0.08  0.01  0.00  0.00
98  60  15  30  -  4.44  0.26  0.82  0.21  1.48
160  60  15  30  -  2.97  0.24  0.25  1.55  3.24
161  60  15  30  -  2.70  0.17  0.03  1.69  3.70
162  60  15  30  -  2.81  0.15  0.13  1.75  3.92
163  60  15  30  -  2.23  0.27  0.00  2.26  4.20
164  60  15  30  -  2.22  0.01  0.01  2.34  4.15
165  60  15  30  -  2.22  0.36  0.00  2.20  4.11
131  60  15  30  -  2.38  0.03  0.00  2.23  4.12
166  60  15  30  -  1.70  0.41  0.00  2.48  4.18
167  60  15  30  -  1.97  0.01  0.02  2.13  3.84
159  90  15  30  -  4.36  0.08  0.00  0.23  0.43
98  90  15  30  -  3.54  0.42  0.50  0.95  2.49
160  90  15  30  -  2.10  0.47  0.15  2.20  4.07
161  90  15  30  -  1.66  0.09  0.02  2.81  4.15
162  90  15  30  -  1.73  0.15  0.00  2.83  4.43
163  90  15  30  -  1.34  0.44  0.00  2.96  4.45
164  90  15  30  -  1.80  0.01  0.00  2.76  4.55
165  90  15  30  -  1.72  0.37  0.02  2.68  4.30
131  90  15  30  -  1.73  0.03  0.00  2.88  4.61
166  90  15  30  -  1.84  0.39  0.00  2.36  4.17
167  90  15  30  -  1.74  0.23  0.00  2.14  3.82
147  0  15  30  -  4.78  0.00  0.00  0.00  0.00
96  0  15  30  -  4.74  0.00  0.50  0.01  0.01
148  0  15  30  -  3.95  0.00  0.48  0.69  2.01
149  0  15  30  -  3.23  0.05  0.01  1.40  2.96
150  0  15  30  -  3.35  0.01  0.01  1.34  3.11
151  0  15  30  -  3.47  0.00  0.10  1.15  3.03
152  0  15  30  -  3.45  0.00  0.00  0.94  3.20
153  0  15  30  -  3.49  0.00  0.00  0.70  3.27
129  0  15  30  -  3.41  0.00  0.01  0.50  2.34
154  0  15  30  -  1.56  0.00  0.00  0.10  0.10
155  0  15  30  -  0.32  0.01  0.00  0.00  0.00
147  30  15  30  -  4.58  0.20  0.00  0.00  0.00
96  30  15  30  -  4.74  0.00  0.65  0.01  0.01
148  30  15  30  -  3.95  0.00  0.45  0.69  1.95
149  30  15  30  -  3.47  0.05  0.01  1.16  2.87
150  30  15  30  -  3.35  0.01  0.23  1.33  2.82
151  30  15  30  -  3.37  0.10  0.00  1.15  3.44
152  30  15  30  -  3.32  0.02  0.20  1.04  3.08
153  30  15  30  -  3.36  0.00  0.01  0.83  3.18
129  30  15  30  -  3.41  0.00  0.10  0.50  2.85
154  30  15  30  -  1.66  0.00  0.00  0.00  0.00
155  30  15  30  -  0.32  0.01  0.00  0.00  0.00
147  60  15  30  -  4.57  0.20  0.00  0.00  0.00
96  60  15  30  -  4.49  0.23  1.07  0.01  0.53
148  60  15  30  -  3.51  0.01  0.73  1.12  2.88
149  60  15  30  -  3.21  0.05  0.12  1.41  3.46
150  60  15  30  -  3.16  0.03  0.16  1.50  3.53
151  60  15  30  -  2.69  0.10  0.14  1.82  3.85
152  60  15  30  -  2.69  0.02  0.00  1.68  3.96
153  60  15  30  -  2.60  0.01  0.02  1.58  3.52
129  60  15  30  -  2.41  0.00  0.01  1.50  3.38
154  60  15  30  -  1.00  0.37  0.10  0.28  0.28
155  60  15  30  -  0.16  0.02  0.00  0.15  0.15
147  90  15  30  -  4.09  0.20  0.00  0.49  0.79
96  90  15  30  -  3.81  0.23  0.21  0.70  2.59
148  90  15  30  -  2.23  0.01  0.27  2.40  4.27
149  90  15  30  -  2.26  0.05  0.14  2.37  4.32
150  90  15  30  -  1.97  0.03  0.01  2.70  4.62
151  90  15  30  -  1.81  0.10  0.23  2.71  4.27
152  90  15  30  -  1.50  0.03  0.01  2.86  4.33
153  90  15  30  -  1.52  0.01  0.00  2.66  4.11
129  90  15  30  -  1.69  0.01  0.00  2.21  3.86
154  90  15  30  -  0.60  0.37  0.00  0.68  0.68
155  90  15  30  -  0.01  0.02  0.00  0.29  0.29
79  90  15  30  -  3.88  0.00  0.00  0.50  0.50
80  90  15  30  -  4.10  0.55  0.01  0.05  0.39
81  90  15  30  -  3.31  0.02  0.17  0.95  1.34
82  90  15  30  -  3.48  0.01  0.10  0.77  2.14
83  90  15  30  -  3.04  0.20  0.08  0.82  2.17
84  90  15  30  -  4.21  0.00  0.00  0.46  0.46
85  90  15  30  -  3.59  0.54  0.01  0.39  0.40
86  90  15  30  -  3.68  0.01  0.54  0.60  1.35
87  90  15  30  -  3.59  0.02  0.23  0.75  1.43
88  90  15  30  -  3.95  0.46  0.53  0.20  1.04
89  90  15  30  -  0.00  0.00  0.00  0.00  0.00
90  90  15  30  -  0.00  0.00  0.00  0.00  0.00
91  90  15  30  -  0.03  0.11  0.00  0.03  0.03
92  90  15  30  -  2.80  0.04  0.00  0.00  0.00
93  90  15  30  -  4.02  0.01  0.00  0.02  0.04
94  90  15  30  -  3.92  0.01  0.64  0.69  1.20
95  90  15  30  -  4.30  0.01  0.27  0.40  1.50
97  90  15  30  -  3.60  0.16  0.85  0.93  1.87
99  90  15  30  -  2.55  0.00  0.14  1.19  2.40
100  90  15  30  -  2.60  0.00  0.00  1.36  3.24
102  90  15  30  -  2.56  0.01  1.42  0.52  1.65
104  90  15  30  -  2.31  0.00  0.94  1.55  2.39
105  90  15  30  -  1.85  1.22  0.01  1.36  3.17
107  90  15  30  -  0.58  0.98  0.01  1.81  3.06
109  90  15  30  -  0.00  0.00  0.00  0.00  0.00
110  90  15  30  -  0.00  2.78  0.00  0.00  0.00
111  90  15  30  -  2.09  0.00  1.22  0.71  1.50
112  90  15  30  -  1.84  0.10  0.03  2.18  3.65
113  90  15  30  -  2.00  0.01  0.30  2.43  4.06
115  90  15  30  -  1.49  0.27  0.06  2.98  4.39
127  90  15  30  -  0.00  1.48  0.00  0.00  0.00
128  90  15  30  -  1.22  0.02  0.00  0.69  1.06
130  90  15  30  -  1.69  0.31  0.08  2.67  4.27
